Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
0.00000000e+000,9.97983375e-005,9.99950100e-003,0.00000000e+000
1.00000000e-002,1.99780395e-004,1.00367659e-002,3.87674234e-001
2.00000000e-002,3.00157123e-004,1.00785900e-002,4.41531683e-001
3.00000000e-002,4.00964468e-004,1.01230604e-002,4.75853704e-001
4.00000000e-002,5.02224622e-004,1.01693325e-002,5.01477390e-001
5.00000000e-002,6.03953148e-004,1.02169218e-002,5.22073508e-001
6.00000000e-002,7.06161607e-004,1.02655110e-002,5.39361815e-001
7.00000000e-002,8.08858855e-004,1.03148750e-002,5.54295150e-001
8.00000000e-002,9.12051781e-004,1.03648448e-002,5.67459865e-001
9.00000000e-002,1.01574577e-003,1.04152886e-002,5.79243917e-001
1.00000000e-001,1.11994503e-003,1.04660998e-002,5.89918049e-001
1.10000000e-001,1.22465278e-003,1.05171906e-002,5.99679097e-001
1.20000000e-001,1.32987144e-003,1.05684868e-002,6.08674887e-001
1.30000000e-001,1.43560274e-003,1.06199246e-002,6.17019401e-001
1.40000000e-001,1.54184782e-003,1.06714485e-002,6.24802474e-001
1.50000000e-001,1.64860730e-003,1.07230096e-002,6.32096226e-001
1.60000000e-001,1.75588133e-003,1.07745641e-002,6.38959478e-001
1.70000000e-001,1.86366965e-003,1.08260726e-002,6.45440861e-001
1.80000000e-001,1.97197161e-003,1.08774994e-002,6.51581064e-001
1.90000000e-001,2.08078624e-003,1.09288115e-002,6.57414492e-001
2.00000000e-001,2.19011224e-003,1.09799786e-002,6.62970505e-001
2.10000000e-001,2.29994803e-003,1.10309726e-002,6.68274373e-001
2.20000000e-001,2.41029175e-003,1.10817671e-002,6.73348004e-001
2.30000000e-001,2.52114127e-003,1.11323375e-002,6.78210525e-001
2.40000000e-001,2.63249426e-003,1.11826602e-002,6.82878735e-001
2.50000000e-001,2.74434812e-003,1.12327132e-002,6.87367473e-001
2.60000000e-001,2.85670006e-003,1.12824754e-002,6.91689914e-001
2.70000000e-001,2.96954707e-003,1.13319265e-002,6.95857810e-001
2.80000000e-001,3.08288596e-003,1.13810472e-002,6.99881694e-001
2.90000000e-001,3.19671333e-003,1.14298189e-002,7.03771038e-001
3.00000000e-001,3.31102561e-003,1.14782236e-002,7.07534396e-001
3.10000000e-001,3.42581906e-003,1.15262438e-002,7.11179522e-001
3.20000000e-001,3.54108974e-003,1.15738627e-002,7.14713463e-001
3.30000000e-001,3.65683358e-003,1.16210638e-002,7.18142645e-001
3.40000000e-001,3.77304632e-003,1.16678311e-002,7.21472947e-001
3.50000000e-001,3.88972356e-003,1.17141490e-002,7.24709758e-001
3.60000000e-001,4.00686073e-003,1.17600021e-002,7.27858033e-001
3.70000000e-001,4.12445312e-003,1.18053756e-002,7.30922337e-001
3.80000000e-001,4.24249588e-003,1.18502546e-002,7.33906889e-001
3.90000000e-001,4.36098398e-003,1.18946246e-002,7.36815590e-001
4.00000000e-001,4.47991229e-003,1.19384716e-002,7.39652062e-001
4.10000000e-001,4.59927552e-003,1.19817814e-002,7.42419667e-001
4.20000000e-001,4.71906822e-003,1.20245402e-002,7.45121537e-001
